[2020-04-24 04:35:31]: Path: save/1587717331/ is created
[2020-04-24 04:35:58]: Start train process.
[2020-04-24 04:59:17]: | epoch   3 |  1200/ 4351 batches | rec loss 0.8239 | dis loss 0.4641 |
[2020-04-24 04:59:36]: | epoch   3 |  1400/ 4351 batches | rec loss 0.6909 | dis loss 0.3847 |
[2020-04-24 04:59:56]: | epoch   3 |  1600/ 4351 batches | rec loss 0.7537 | dis loss 0.4678 |
[2020-04-24 05:00:15]: | epoch   3 |  1800/ 4351 batches | rec loss 0.7364 | dis loss 0.4096 |
[2020-04-24 05:00:35]: | epoch   3 |  2000/ 4351 batches | rec loss 0.7732 | dis loss 0.5529 |
[2020-04-24 05:00:55]: | epoch   3 |  2200/ 4351 batches | rec loss 0.7261 | dis loss 0.4390 |
[2020-04-24 05:01:14]: | epoch   3 |  2400/ 4351 batches | rec loss 0.7902 | dis loss 0.4973 |
[2020-04-24 05:01:34]: | epoch   3 |  2600/ 4351 batches | rec loss 0.7815 | dis loss 0.4677 |
[2020-04-24 05:01:53]: | epoch   3 |  2800/ 4351 batches | rec loss 0.7614 | dis loss 0.5366 |
[2020-04-24 05:02:13]: | epoch   3 |  3000/ 4351 batches | rec loss 0.7206 | dis loss 0.4730 |
[2020-04-24 05:02:33]: | epoch   3 |  3200/ 4351 batches | rec loss 0.7908 | dis loss 0.4383 |
[2020-04-24 05:02:52]: | epoch   3 |  3400/ 4351 batches | rec loss 0.7588 | dis loss 0.4754 |
[2020-04-24 05:03:12]: | epoch   3 |  3600/ 4351 batches | rec loss 0.6616 | dis loss 0.5201 |
[2020-04-24 05:03:31]: | epoch   3 |  3800/ 4351 batches | rec loss 0.7581 | dis loss 0.4281 |
[2020-04-24 05:03:51]: | epoch   3 |  4000/ 4351 batches | rec loss 0.8214 | dis loss 0.4675 |
[2020-04-24 05:04:11]: | epoch   3 |  4200/ 4351 batches | rec loss 0.7300 | dis loss 0.5380 |
[2020-04-24 05:04:26]: | end of epoch   3 | time: 426.51s |
[2020-04-24 05:04:26]: | epoch   4 |     0/ 4351 batches | rec loss 0.7620 | dis loss 0.4432 |
[2020-04-24 05:04:45]: | epoch   4 |   200/ 4351 batches | rec loss 0.7053 | dis loss 0.4278 |
[2020-04-24 05:05:05]: | epoch   4 |   400/ 4351 batches | rec loss 0.7496 | dis loss 0.4217 |
[2020-04-24 05:05:25]: | epoch   4 |   600/ 4351 batches | rec loss 0.7309 | dis loss 0.4238 |
[2020-04-24 05:05:44]: | epoch   4 |   800/ 4351 batches | rec loss 0.7545 | dis loss 0.4364 |
[2020-04-24 05:06:04]: | epoch   4 |  1000/ 4351 batches | rec loss 0.6932 | dis loss 0.5429 |
[2020-04-24 05:06:23]: | epoch   4 |  1200/ 4351 batches | rec loss 0.7346 | dis loss 0.4591 |
[2020-04-24 05:06:43]: | epoch   4 |  1400/ 4351 batches | rec loss 0.6396 | dis loss 0.3804 |
[2020-04-24 05:07:02]: | epoch   4 |  1600/ 4351 batches | rec loss 0.7036 | dis loss 0.4713 |
[2020-04-24 05:07:22]: | epoch   4 |  1800/ 4351 batches | rec loss 0.6717 | dis loss 0.3997 |
[2020-04-24 05:07:42]: | epoch   4 |  2000/ 4351 batches | rec loss 0.7275 | dis loss 0.5176 |
[2020-04-24 05:08:01]: | epoch   4 |  2200/ 4351 batches | rec loss 0.6721 | dis loss 0.4392 |
[2020-04-24 05:08:21]: | epoch   4 |  2400/ 4351 batches | rec loss 0.7012 | dis loss 0.4641 |
[2020-04-24 05:08:41]: | epoch   4 |  2600/ 4351 batches | rec loss 0.7080 | dis loss 0.4939 |
