[2020-03-09 00:27:08]: Path: save/1583728028/ is created
[2020-03-09 00:27:42]: Start train process.
[2020-03-09 00:46:57]: | epoch   3 |  2600/ 4351 batches | rec loss 0.7666 | dis loss 0.5439 |
[2020-03-09 00:47:12]: | epoch   3 |  2800/ 4351 batches | rec loss 0.6903 | dis loss 0.5069 |
[2020-03-09 00:47:26]: | epoch   3 |  3000/ 4351 batches | rec loss 0.7285 | dis loss 0.5057 |
[2020-03-09 00:47:41]: | epoch   3 |  3200/ 4351 batches | rec loss 0.7981 | dis loss 0.4533 |
[2020-03-09 00:47:56]: | epoch   3 |  3400/ 4351 batches | rec loss 0.8369 | dis loss 0.5565 |
[2020-03-09 00:48:11]: | epoch   3 |  3600/ 4351 batches | rec loss 0.6668 | dis loss 0.4915 |
[2020-03-09 00:48:25]: | epoch   3 |  3800/ 4351 batches | rec loss 0.7359 | dis loss 0.4229 |
[2020-03-09 00:48:40]: | epoch   3 |  4000/ 4351 batches | rec loss 0.7167 | dis loss 0.5650 |
[2020-03-09 00:48:55]: | epoch   3 |  4200/ 4351 batches | rec loss 0.7298 | dis loss 0.4923 |
[2020-03-09 00:49:06]: | end of epoch   3 | time: 320.46s |
[2020-03-09 00:49:06]: | epoch   4 |     0/ 4351 batches | rec loss 0.7277 | dis loss 0.5387 |
[2020-03-09 00:49:21]: | epoch   4 |   200/ 4351 batches | rec loss 0.7006 | dis loss 0.5540 |
[2020-03-09 00:49:36]: | epoch   4 |   400/ 4351 batches | rec loss 0.7369 | dis loss 0.4081 |
[2020-03-09 00:49:50]: | epoch   4 |   600/ 4351 batches | rec loss 0.7348 | dis loss 0.5956 |
[2020-03-09 00:50:05]: | epoch   4 |   800/ 4351 batches | rec loss 0.7188 | dis loss 0.5512 |
[2020-03-09 00:50:20]: | epoch   4 |  1000/ 4351 batches | rec loss 0.6354 | dis loss 0.4725 |
[2020-03-09 00:50:34]: | epoch   4 |  1200/ 4351 batches | rec loss 0.7080 | dis loss 0.4556 |
[2020-03-09 00:50:49]: | epoch   4 |  1400/ 4351 batches | rec loss 0.6926 | dis loss 0.3923 |
[2020-03-09 00:51:04]: | epoch   4 |  1600/ 4351 batches | rec loss 0.6013 | dis loss 0.4720 |
[2020-03-09 00:51:19]: | epoch   4 |  1800/ 4351 batches | rec loss 0.8112 | dis loss 0.5548 |
[2020-03-09 00:51:33]: | epoch   4 |  2000/ 4351 batches | rec loss 0.6570 | dis loss 0.6062 |
[2020-03-09 00:51:48]: | epoch   4 |  2200/ 4351 batches | rec loss 0.7317 | dis loss 0.5570 |
[2020-03-09 00:52:02]: | epoch   4 |  2400/ 4351 batches | rec loss 0.6540 | dis loss 0.4977 |
[2020-03-09 00:52:17]: | epoch   4 |  2600/ 4351 batches | rec loss 0.7403 | dis loss 0.5069 |
[2020-03-09 00:52:32]: | epoch   4 |  2800/ 4351 batches | rec loss 0.6657 | dis loss 0.5126 |
[2020-03-09 00:52:46]: | epoch   4 |  3000/ 4351 batches | rec loss 0.6799 | dis loss 0.4905 |
[2020-03-09 00:53:01]: | epoch   4 |  3200/ 4351 batches | rec loss 0.7261 | dis loss 0.4594 |
[2020-03-09 00:53:16]: | epoch   4 |  3400/ 4351 batches | rec loss 0.7615 | dis loss 0.5169 |
[2020-03-09 00:53:30]: | epoch   4 |  3600/ 4351 batches | rec loss 0.6157 | dis loss 0.4973 |
[2020-03-09 00:53:45]: | epoch   4 |  3800/ 4351 batches | rec loss 0.6884 | dis loss 0.4311 |
[2020-03-09 00:54:00]: | epoch   4 |  4000/ 4351 batches | rec loss 0.6479 | dis loss 0.5595 |
[2020-03-09 00:54:14]: | epoch   4 |  4200/ 4351 batches | rec loss 0.7086 | dis loss 0.4800 |
[2020-03-09 00:54:25]: | end of epoch   4 | time: 319.34s |
[2020-03-09 00:54:26]: | epoch   5 |     0/ 4351 batches | rec loss 0.6635 | dis loss 0.5230 |
[2020-03-09 00:54:40]: | epoch   5 |   200/ 4351 batches | rec loss 0.6556 | dis loss 0.5166 |
[2020-03-09 00:54:55]: | epoch   5 |   400/ 4351 batches | rec loss 0.6793 | dis loss 0.4378 |
[2020-03-09 00:55:10]: | epoch   5 |   600/ 4351 batches | rec loss 0.6906 | dis loss 0.5570 |
[2020-03-09 00:55:24]: | epoch   5 |   800/ 4351 batches | rec loss 0.6891 | dis loss 0.5148 |
[2020-03-09 00:55:39]: | epoch   5 |  1000/ 4351 batches | rec loss 0.5827 | dis loss 0.4723 |
[2020-03-09 00:55:53]: | epoch   5 |  1200/ 4351 batches | rec loss 0.6608 | dis loss 0.4636 |
[2020-03-09 00:56:08]: | epoch   5 |  1400/ 4351 batches | rec loss 0.6219 | dis loss 0.3951 |
[2020-03-09 00:56:23]: | epoch   5 |  1600/ 4351 batches | rec loss 0.5525 | dis loss 0.4651 |
[2020-03-09 00:56:37]: | epoch   5 |  1800/ 4351 batches | rec loss 0.7969 | dis loss 0.5548 |
[2020-03-09 00:56:52]: | epoch   5 |  2000/ 4351 batches | rec loss 0.5948 | dis loss 0.6150 |
[2020-03-09 00:57:07]: | epoch   5 |  2200/ 4351 batches | rec loss 0.6925 | dis loss 0.5691 |
[2020-03-09 00:57:21]: | epoch   5 |  2400/ 4351 batches | rec loss 0.6049 | dis loss 0.4707 |
[2020-03-09 00:57:36]: | epoch   5 |  2600/ 4351 batches | rec loss 0.6726 | dis loss 0.5332 |
[2020-03-09 00:57:51]: | epoch   5 |  2800/ 4351 batches | rec loss 0.6344 | dis loss 0.4765 |
[2020-03-09 00:58:05]: | epoch   5 |  3000/ 4351 batches | rec loss 0.6444 | dis loss 0.4676 |
[2020-03-09 00:58:20]: | epoch   5 |  3200/ 4351 batches | rec loss 0.6954 | dis loss 0.4500 |
[2020-03-09 00:58:35]: | epoch   5 |  3400/ 4351 batches | rec loss 0.7189 | dis loss 0.5172 |
[2020-03-09 00:58:49]: | epoch   5 |  3600/ 4351 batches | rec loss 0.5851 | dis loss 0.4836 |
[2020-03-09 00:59:04]: | epoch   5 |  3800/ 4351 batches | rec loss 0.6720 | dis loss 0.4190 |
[2020-03-09 00:59:18]: | epoch   5 |  4000/ 4351 batches | rec loss 0.6402 | dis loss 0.5639 |
[2020-03-09 00:59:33]: | epoch   5 |  4200/ 4351 batches | rec loss 0.6423 | dis loss 0.4949 |
[2020-03-09 00:59:44]: | end of epoch   5 | time: 318.62s |
[2020-03-09 00:59:44]: | epoch   6 |     0/ 4351 batches | rec loss 0.6354 | dis loss 0.5260 |
[2020-03-09 00:59:59]: | epoch   6 |   200/ 4351 batches | rec loss 0.6134 | dis loss 0.5317 |
[2020-03-09 01:00:14]: | epoch   6 |   400/ 4351 batches | rec loss 0.6522 | dis loss 0.4216 |
[2020-03-09 01:00:28]: | epoch   6 |   600/ 4351 batches | rec loss 0.6704 | dis loss 0.5241 |
[2020-03-09 01:00:43]: | epoch   6 |   800/ 4351 batches | rec loss 0.6553 | dis loss 0.5023 |
[2020-03-09 01:00:58]: | epoch   6 |  1000/ 4351 batches | rec loss 0.5432 | dis loss 0.4623 |
[2020-03-09 01:01:12]: | epoch   6 |  1200/ 4351 batches | rec loss 0.6316 | dis loss 0.4460 |
[2020-03-09 01:01:27]: | epoch   6 |  1400/ 4351 batches | rec loss 0.6080 | dis loss 0.3974 |
[2020-03-09 01:01:42]: | epoch   6 |  1600/ 4351 batches | rec loss 0.5325 | dis loss 0.4656 |
[2020-03-09 01:01:56]: | epoch   6 |  1800/ 4351 batches | rec loss 0.7324 | dis loss 0.5257 |
[2020-03-09 01:02:11]: | epoch   6 |  2000/ 4351 batches | rec loss 0.5621 | dis loss 0.5994 |
[2020-03-09 01:02:25]: | epoch   6 |  2200/ 4351 batches | rec loss 0.6563 | dis loss 0.5418 |
[2020-03-09 01:02:40]: | epoch   6 |  2400/ 4351 batches | rec loss 0.6173 | dis loss 0.4933 |
[2020-03-09 01:02:55]: | epoch   6 |  2600/ 4351 batches | rec loss 0.6708 | dis loss 0.5228 |
[2020-03-09 01:03:09]: | epoch   6 |  2800/ 4351 batches | rec loss 0.5898 | dis loss 0.4708 |
[2020-03-09 01:03:24]: | epoch   6 |  3000/ 4351 batches | rec loss 0.6106 | dis loss 0.4911 |
[2020-03-09 01:03:39]: | epoch   6 |  3200/ 4351 batches | rec loss 0.6827 | dis loss 0.4560 |
[2020-03-09 01:03:53]: | epoch   6 |  3400/ 4351 batches | rec loss 0.6888 | dis loss 0.5282 |
[2020-03-09 01:04:08]: | epoch   6 |  3600/ 4351 batches | rec loss 0.5425 | dis loss 0.4900 |
[2020-03-09 01:04:23]: | epoch   6 |  3800/ 4351 batches | rec loss 0.6533 | dis loss 0.4272 |
[2020-03-09 01:04:37]: | epoch   6 |  4000/ 4351 batches | rec loss 0.6041 | dis loss 0.5509 |
[2020-03-09 01:04:52]: | epoch   6 |  4200/ 4351 batches | rec loss 0.6075 | dis loss 0.5007 |
[2020-03-09 01:05:03]: | end of epoch   6 | time: 318.77s |
[2020-03-09 01:05:03]: | epoch   7 |     0/ 4351 batches | rec loss 0.6027 | dis loss 0.5389 |
[2020-03-09 01:05:18]: | epoch   7 |   200/ 4351 batches | rec loss 0.5964 | dis loss 0.5103 |
[2020-03-09 01:05:33]: | epoch   7 |   400/ 4351 batches | rec loss 0.6207 | dis loss 0.4046 |
[2020-03-09 01:05:47]: | epoch   7 |   600/ 4351 batches | rec loss 0.6542 | dis loss 0.5398 |
[2020-03-09 01:06:02]: | epoch   7 |   800/ 4351 batches | rec loss 0.6246 | dis loss 0.5021 |
[2020-03-09 01:06:16]: | epoch   7 |  1000/ 4351 batches | rec loss 0.5341 | dis loss 0.4649 |
[2020-03-09 01:06:31]: | epoch   7 |  1200/ 4351 batches | rec loss 0.6255 | dis loss 0.4613 |
[2020-03-09 01:06:46]: | epoch   7 |  1400/ 4351 batches | rec loss 0.5780 | dis loss 0.3831 |
[2020-03-09 01:07:00]: | epoch   7 |  1600/ 4351 batches | rec loss 0.5024 | dis loss 0.4668 |
[2020-03-09 01:07:15]: | epoch   7 |  1800/ 4351 batches | rec loss 0.6935 | dis loss 0.5588 |
[2020-03-09 01:07:30]: | epoch   7 |  2000/ 4351 batches | rec loss 0.5781 | dis loss 0.6034 |
[2020-03-09 01:07:44]: | epoch   7 |  2200/ 4351 batches | rec loss 0.6420 | dis loss 0.5517 |
[2020-03-09 01:07:59]: | epoch   7 |  2400/ 4351 batches | rec loss 0.5770 | dis loss 0.4926 |
[2020-03-09 01:08:14]: | epoch   7 |  2600/ 4351 batches | rec loss 0.6188 | dis loss 0.5138 |
[2020-03-09 01:08:28]: | epoch   7 |  2800/ 4351 batches | rec loss 0.5494 | dis loss 0.5077 |
[2020-03-09 01:08:43]: | epoch   7 |  3000/ 4351 batches | rec loss 0.5969 | dis loss 0.4492 |
[2020-03-09 01:08:58]: | epoch   7 |  3200/ 4351 batches | rec loss 0.6509 | dis loss 0.4702 |
[2020-03-09 01:09:12]: | epoch   7 |  3400/ 4351 batches | rec loss 0.6755 | dis loss 0.5213 |
[2020-03-09 01:09:27]: | epoch   7 |  3600/ 4351 batches | rec loss 0.5350 | dis loss 0.4922 |
[2020-03-09 01:09:41]: | epoch   7 |  3800/ 4351 batches | rec loss 0.5773 | dis loss 0.4028 |
[2020-03-09 01:09:56]: | epoch   7 |  4000/ 4351 batches | rec loss 0.5956 | dis loss 0.5618 |
[2020-03-09 01:10:11]: | epoch   7 |  4200/ 4351 batches | rec loss 0.6107 | dis loss 0.4931 |
[2020-03-09 01:10:22]: | end of epoch   7 | time: 318.71s |
[2020-03-09 01:10:22]: | epoch   8 |     0/ 4351 batches | rec loss 0.5552 | dis loss 0.5458 |
[2020-03-09 01:10:37]: | epoch   8 |   200/ 4351 batches | rec loss 0.5740 | dis loss 0.5037 |
[2020-03-09 01:10:51]: | epoch   8 |   400/ 4351 batches | rec loss 0.5932 | dis loss 0.4297 |
[2020-03-09 01:11:06]: | epoch   8 |   600/ 4351 batches | rec loss 0.6160 | dis loss 0.5090 |
[2020-03-09 01:11:21]: | epoch   8 |   800/ 4351 batches | rec loss 0.6214 | dis loss 0.5096 |
[2020-03-09 01:11:35]: | epoch   8 |  1000/ 4351 batches | rec loss 0.5066 | dis loss 0.4382 |
[2020-03-09 01:11:50]: | epoch   8 |  1200/ 4351 batches | rec loss 0.5822 | dis loss 0.4901 |
[2020-03-09 01:12:05]: | epoch   8 |  1400/ 4351 batches | rec loss 0.5425 | dis loss 0.3936 |
[2020-03-09 01:12:19]: | epoch   8 |  1600/ 4351 batches | rec loss 0.4996 | dis loss 0.4760 |
[2020-03-09 01:12:34]: | epoch   8 |  1800/ 4351 batches | rec loss 0.6453 | dis loss 0.5536 |
[2020-03-09 01:12:49]: | epoch   8 |  2000/ 4351 batches | rec loss 0.5256 | dis loss 0.5777 |
[2020-03-09 01:13:03]: | epoch   8 |  2200/ 4351 batches | rec loss 0.6229 | dis loss 0.5478 |
[2020-03-09 01:13:18]: | epoch   8 |  2400/ 4351 batches | rec loss 0.5546 | dis loss 0.4616 |
[2020-03-09 01:13:32]: | epoch   8 |  2600/ 4351 batches | rec loss 0.5994 | dis loss 0.5172 |
[2020-03-09 01:13:47]: | epoch   8 |  2800/ 4351 batches | rec loss 0.5449 | dis loss 0.4944 |
[2020-03-09 01:14:02]: | epoch   8 |  3000/ 4351 batches | rec loss 0.5705 | dis loss 0.4466 |
[2020-03-09 01:14:16]: | epoch   8 |  3200/ 4351 batches | rec loss 0.6276 | dis loss 0.4836 |
[2020-03-09 01:14:31]: | epoch   8 |  3400/ 4351 batches | rec loss 0.6335 | dis loss 0.5466 |
[2020-03-09 01:14:46]: | epoch   8 |  3600/ 4351 batches | rec loss 0.5098 | dis loss 0.4824 |
[2020-03-09 01:15:00]: | epoch   8 |  3800/ 4351 batches | rec loss 0.5894 | dis loss 0.4209 |
[2020-03-09 01:15:15]: | epoch   8 |  4000/ 4351 batches | rec loss 0.5639 | dis loss 0.5259 |
[2020-03-09 01:15:30]: | epoch   8 |  4200/ 4351 batches | rec loss 0.5765 | dis loss 0.4885 |
[2020-03-09 01:15:41]: | end of epoch   8 | time: 318.73s |
[2020-03-09 01:15:41]: | epoch   9 |     0/ 4351 batches | rec loss 0.5691 | dis loss 0.5210 |
[2020-03-09 01:15:56]: | epoch   9 |   200/ 4351 batches | rec loss 0.5566 | dis loss 0.4765 |
[2020-03-09 01:16:10]: | epoch   9 |   400/ 4351 batches | rec loss 0.5885 | dis loss 0.4177 |
[2020-03-09 01:16:25]: | epoch   9 |   600/ 4351 batches | rec loss 0.5853 | dis loss 0.5316 |
[2020-03-09 01:16:40]: | epoch   9 |   800/ 4351 batches | rec loss 0.6030 | dis loss 0.5115 |
[2020-03-09 01:16:54]: | epoch   9 |  1000/ 4351 batches | rec loss 0.4815 | dis loss 0.4455 |
[2020-03-09 01:17:09]: | epoch   9 |  1200/ 4351 batches | rec loss 0.5619 | dis loss 0.4576 |
[2020-03-09 01:17:24]: | epoch   9 |  1400/ 4351 batches | rec loss 0.5613 | dis loss 0.3678 |
[2020-03-09 01:17:38]: | epoch   9 |  1600/ 4351 batches | rec loss 0.4748 | dis loss 0.4501 |
